id_coach,country_code,coach_name,coach_year
1,ESP,Luis Aragonés Suárez,2008
2,GER,Joachim Löw,2008
3,ESP,Luis Aragonés Suárez,2008
4,NED,Guus Hiddink,2008
5,TUR,Fatih Terim,2008
6,GER,Joachim Löw,2008
7,ITA,Roberto Donadoni,2008
8,ESP,Luis Aragonés Suárez,2008
9,NED,Guus Hiddink,2008
10,NED,Marco van Basten,2008
11,TUR,Fatih Terim,2008
12,CRO,Slaven Bilić,2008
13,BRA,Luiz Felipe Scolari,2008
14,SWE,Lars Lagerbäck,2008
15,NED,Guus Hiddink,2008
16,ESP,Luis Aragonés Suárez,2008
17,GER,Otto-Heinz Rehhagel,2008
18,ITA,Roberto Donadoni,2008
19,FRA,Raymond Domenech,2008
20,ROU,Victor Piturca,2008
21,NED,Marco van Basten,2008
22,GER,Joachim Löw,2008
23,AUT,Josef Hickersberger,2008
24,CRO,Slaven Bilić,2008
25,NED,Leo Beenhakker,2008
26,CZE,Karel Brückner,2008
27,TUR,Fatih Terim,2008
28,BRA,Luiz Felipe Scolari,2008
29,SUI,Jakob Kuhn,2008
30,NED,Guus Hiddink,2008
31,GER,Otto-Heinz Rehhagel,2008
32,ESP,Luis Aragonés Suárez,2008
33,SWE,Lars Lagerbäck,2008
34,FRA,Raymond Domenech,2008
35,NED,Marco van Basten,2008
36,ROU,Victor Piturca,2008
37,ITA,Roberto Donadoni,2008
38,NED,Leo Beenhakker,2008
39,AUT,Josef Hickersberger,2008
40,GER,Joachim Löw,2008
41,CRO,Slaven Bilić,2008
42,TUR,Fatih Terim,2008
43,SUI,Jakob Kuhn,2008
44,BRA,Luiz Felipe Scolari,2008
45,CZE,Karel Brückner,2008
46,SWE,Lars Lagerbäck,2008
47,GER,Otto-Heinz Rehhagel,2008
48,NED,Guus Hiddink,2008
49,ESP,Luis Aragonés Suárez,2008
50,ITA,Roberto Donadoni,2008
51,NED,Marco van Basten,2008
52,FRA,Raymond Domenech,2008
53,ROU,Victor Piturca,2008
54,NED,Leo Beenhakker,2008
55,GER,Joachim Löw,2008
56,CRO,Slaven Bilić,2008
57,AUT,Josef Hickersberger,2008
58,TUR,Fatih Terim,2008
59,BRA,Luiz Felipe Scolari,2008
60,CZE,Karel Brückner,2008
61,SUI,Jakob Kuhn,2008
62,ITA,Cesare Prandelli,2012
63,ESP,Vicente del Bosque,2012
64,ITA,Cesare Prandelli,2012
65,GER,Joachim Löw,2012
66,ITA,Cesare Prandelli,2012
67,ENG,Roy Hodgson,2012
68,FRA,Laurent Blanc,2012
69,ESP,Vicente del Bosque,2012
70,POR,Fernando Santos,2012
71,GER,Joachim Löw,2012
72,POR,Paulo Bento,2012
73,CZE,Michal Bílek,2012
74,FRA,Laurent Blanc,2012
75,SWE,Erik Hamrén,2012
76,UKR,Oleh Blokhin,2012
77,ENG,Roy Hodgson,2012
78,ITA,Giovanni Trapattoni,2012
79,ITA,Cesare Prandelli,2012
80,ESP,Vicente del Bosque,2012
81,CRO,Slaven Bilić,2012
82,GER,Joachim Löw,2012
83,DEN,Morten Olsen,2012
84,NED,Bert van Marwijk,2012
85,POR,Paulo Bento,2012
86,NED,Dick Advocaat,2012
87,POR,Fernando Santos,2012
88,POL,Franciszek Smuda,2012
89,CZE,Michal Bílek,2012
90,ENG,Roy Hodgson,2012
91,SWE,Erik Hamrén,2012
92,FRA,Laurent Blanc,2012
93,UKR,Oleh Blokhin,2012
94,ITA,Giovanni Trapattoni,2012
95,ESP,Vicente del Bosque,2012
96,CRO,Slaven Bilić,2012
97,ITA,Cesare Prandelli,2012
98,GER,Joachim Löw,2012
99,NED,Bert van Marwijk,2012
100,POR,Paulo Bento,2012
101,DEN,Morten Olsen,2012
102,NED,Dick Advocaat,2012
103,POL,Franciszek Smuda,2012
104,CZE,Michal Bílek,2012
105,POR,Fernando Santos,2012
106,SWE,Erik Hamrén,2012
107,UKR,Oleh Blokhin,2012
108,ENG,Roy Hodgson,2012
109,FRA,Laurent Blanc,2012
110,CRO,Slaven Bilić,2012
111,ITA,Giovanni Trapattoni,2012
112,ITA,Cesare Prandelli,2012
113,ESP,Vicente del Bosque,2012
114,POR,Paulo Bento,2012
115,GER,Joachim Löw,2012
116,DEN,Morten Olsen,2012
117,NED,Bert van Marwijk,2012
118,CZE,Michal Bílek,2012
119,NED,Dick Advocaat,2012
120,POR,Fernando Santos,2012
121,POL,Franciszek Smuda,2012
122,FRA,Didier Deschamps,2016
123,POR,Fernando Santos,2016
124,FRA,Didier Deschamps,2016
125,GER,Joachim Löw,2016
126,WAL,Chris Coleman,2016
127,POR,Fernando Santos,2016
128,SWE,Lars Lagerbäck,2016
129,FRA,Didier Deschamps,2016
130,ITA,Antonio Conte,2016
131,GER,Joachim Löw,2016
132,BEL,Marc Wilmots,2016
133,WAL,Chris Coleman,2016
134,POR,Fernando Santos,2016
135,POL,Adam Nawalka,2016
136,SWE,Lars Lagerbäck,2016
137,ENG,Roy Hodgson,2016
138,ESP,Vicente del Bosque,2016
139,ITA,Antonio Conte,2016
140,BEL,Marc Wilmots,2016
141,GER,Bernd Storck,2016
142,SVK,Ján Kozák,2016
143,GER,Joachim Löw,2016
144,NIR,Martin O'Neill,2016
145,FRA,Didier Deschamps,2016
146,POR,Fernando Santos,2016
